Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,77.0,125.0,0.616,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves,58.0,94.0,0.6170212765957447,1.0,2019-05-18,gsc_property,worldwide,mobile,
tu ves,46.0,88.0,0.5227272727272727,1.2045454545454546,2019-05-18,gsc_property,worldwide,mobile,
tu ves hd,36.0,51.0,0.7058823529411765,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves chile,29.0,59.0,0.4915254237288136,1.0338983050847457,2019-05-18,gsc_property,worldwide,mobile,
tuves.cl,15.0,25.0,0.6,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd cdf hd,11.0,21.0,0.5238095238095238,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuvez,10.0,12.0,0.8333333333333334,1.0833333333333333,2019-05-18,gsc_property,worldwide,mobile,
mi punto tuves.cl,6.0,11.0,0.5454545454545454,1.0909090909090908,2019-05-18,gsc_property,worldwide,mobile,
tu ves cable,6.0,7.0,0.8571428571428571,1.0,2019-05-18,gsc_property,worldwide,mobile,
tu vez,6.0,13.0,0.46153846153846156,2.3076923076923075,2019-05-18,gsc_property,worldwide,mobile,
tuveshd,6.0,17.0,0.35294117647058826,1.0,2019-05-18,gsc_property,worldwide,mobile,
cable tuves,5.0,6.0,0.8333333333333334,1.0,2019-05-18,gsc_property,worldwide,mobile,
call center tuves hd,5.0,6.0,0.8333333333333334,1.0,2019-05-18,gsc_property,worldwide,mobile,
mi tuves,5.0,7.0,0.7142857142857143,1.4285714285714286,2019-05-18,gsc_property,worldwide,mobile,
tuves cable,5.0,6.0,0.8333333333333334,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves cdf hd,5.0,7.0,0.7142857142857143,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuvestv,5.0,7.0,0.7142857142857143,1.0,2019-05-18,gsc_property,worldwide,mobile,
guia de canales tuves hd,4.0,4.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
hd tuves,4.0,6.0,0.6666666666666666,1.0,2019-05-18,gsc_property,worldwide,mobile,
numero de tuves,4.0,12.0,0.3333333333333333,1.3333333333333333,2019-05-18,gsc_property,worldwide,mobile,
servicio al cliente tuves,4.0,4.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd gratis,4.0,11.0,0.36363636363636365,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves numero,4.0,9.0,0.4444444444444444,1.7777777777777777,2019-05-18,gsc_property,worldwide,mobile,
tuveshd.cl,4.0,11.0,0.36363636363636365,1.0,2019-05-18,gsc_property,worldwide,mobile,
tv cable,4.0,71.0,0.056338028169014086,4.112676056338028,2019-05-18,gsc_property,worldwide,mobile,
tv satelital,4.0,24.0,0.16666666666666666,2.375,2019-05-18,gsc_property,worldwide,mobile,
www tuves cl pago,4.0,4.0,1.0,2.0,2019-05-18,gsc_property,worldwide,mobile,
numero de telefono de tuves,3.0,18.0,0.16666666666666666,1.7777777777777777,2019-05-18,gsc_property,worldwide,mobile,
tu tv,3.0,33.0,0.09090909090909091,1.0606060606060606,2019-05-18,gsc_property,worldwide,mobile,
tu tv hd,3.0,27.0,0.1111111111111111,4.148148148148149,2019-05-18,gsc_property,worldwide,mobile,
tuves alto hospicio,3.0,6.0,0.5,2.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd chile,3.0,3.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd chile planes,3.0,3.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd iquique,3.0,4.0,0.75,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd pago facil,3.0,6.0,0.5,2.0,2019-05-18,gsc_property,worldwide,mobile,
tuvezhd,3.0,5.0,0.6,1.0,2019-05-18,gsc_property,worldwide,mobile,
tv hd,3.0,21.0,0.14285714285714285,4.476190476190476,2019-05-18,gsc_property,worldwide,mobile,
tv tuves,3.0,7.0,0.42857142857142855,1.0,2019-05-18,gsc_property,worldwide,mobile,
canales online,2.0,51.0,0.0392156862745098,7.647058823529412,2019-05-18,gsc_property,worldwide,mobile,
canales tuves,2.0,2.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
contratar cdf premium,2.0,98.0,0.02040816326530612,11.60204081632653,2019-05-18,gsc_property,worldwide,mobile,
numero telefonico de tuves hd,2.0,8.0,0.25,2.0,2019-05-18,gsc_property,worldwide,mobile,
numero tuves,2.0,9.0,0.2222222222222222,1.8888888888888888,2019-05-18,gsc_property,worldwide,mobile,
pago tuves,2.0,14.0,0.14285714285714285,1.9285714285714286,2019-05-18,gsc_property,worldwide,mobile,
play canales,2.0,3.0,0.6666666666666666,10.666666666666666,2019-05-18,gsc_property,worldwide,mobile,
programacion cable,2.0,20.0,0.1,6.35,2019-05-18,gsc_property,worldwide,mobile,
servicioalcliente@tuves.com,2.0,2.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
television satelital gratis,2.0,6.0,0.3333333333333333,3.0,2019-05-18,gsc_property,worldwide,mobile,
televisión satelital,2.0,22.0,0.09090909090909091,3.6363636363636362,2019-05-18,gsc_property,worldwide,mobile,
tu veshd,2.0,3.0,0.6666666666666666,1.0,2019-05-18,gsc_property,worldwide,mobile,
tu vez hd,2.0,16.0,0.125,1.0,2019-05-18,gsc_property,worldwide,mobile,
tubes hd,2.0,3.0,0.6666666666666666,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves en linea,2.0,8.0,0.25,2.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd call center,2.0,3.0,0.6666666666666666,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves hd contacto,2.0,2.0,1.0,1.5,2019-05-18,gsc_property,worldwide,mobile,
tuves hd fono,2.0,4.0,0.5,1.5,2019-05-18,gsc_property,worldwide,mobile,
tuves hd numero telefonico,2.0,12.0,0.16666666666666666,1.6666666666666665,2019-05-18,gsc_property,worldwide,mobile,
tuves hd pago,2.0,8.0,0.25,2.0,2019-05-18,gsc_property,worldwide,mobile,
tuves iquique,2.0,2.0,1.0,1.5,2019-05-18,gsc_property,worldwide,mobile,
tuves tv reclamos,2.0,3.0,0.6666666666666666,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuves. cl,2.0,5.0,0.4,1.0,2019-05-18,gsc_property,worldwide,mobile,
tuvez hd,2.0,2.0,1.0,1.0,2019-05-18,gsc_property,worldwide,mobile,
